METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
HGBT;BASE_SCORE;DOUBLE;0.5 for binary classification, 0 otherwise.;;0;;Initial prediction score of all instances.\nGlobal bias for sufficient number of iterationsRange: (0, 1), only for binary classification.;
HGBT;START_FROM_AVERAGE;INTEGER;0;0;;;Indicates whether to adopt the prior distribution as the initial point. To be specific, use average value if it is a regression problem, and use frequencies of labels if it is a classification problem.\n0: no1: yes;BASE_SCORE is ignored if this parameter is set to 1.
HGBT;OBJ_FUNC;INTEGER;0 for regression problem.\n5 for binary classification.7 for multiple classification.;0;;;For regression:\n0. Squared error1. Squared log error2. Pseudo Huber error3. Gamma4. TweedieFor binary classification:5. Logistic6. HingeFor multiple classification:7. Softmax;
HGBT;TWEEDIE_POWER;Double;1.5;;1.5;;For Tweedie object function, must in range [1.0, 2.0];Only valid when OBJ_FUNC equals 4
HGBT;REPLACE_MISSING;INTEGER;1;1;;;Replace missing value by another value in the feature. If it is a continuous feature, the value is the mean value, if it is a categorical feature, the value is the most frequent one.\n0: no1: yes;
HGBT;DEFAULT_MISSING_DIRECTION;INTEGER;1;1;;;Define the default direction where missing value will go to while splitting.\n0: left1: right;
HGBT;FEATURE_GROUPING;INTEGER;0;0;;;Apply feature grouping by grouping sparse features that only contains one significant value in each row.\n0: no1: yes;
HGBT;TOLERANT_RATE;DOUBLE;0.0001;;0.0001;;While applying feature grouping, still merge features when there are rows containing more than one significant value. This parameter specifies the rate of such rows allowed.;Only available when FEATURE_GROUPING is set to 1
HGBT;CATEGORICAL_VARIABLE;VARCHAR or NVARCHAR;Detected from input data;;;Detected from input data;Indicates which variables are treated as categorical. The default behavior is:\nSTRING: categoricalINTEGER and DOUBLE: continuous;Valid only for INTEGER variables, omitted otherwise.
HGBT;HAS_ID;INTEGER;0;0;;;Specifies if the first column of the DATA table is used as ID column\n0: no1: yes, the first column is discarded during training.;
HGBT;DEPENDENT_VARIABLE;VARCHAR or NVARCHAR;The last column name of DATA table;;;The last column name of DATA table;Specifies the variable used as independent.;Cannot be the first column name if HAS_ID is 1.
HGBT;CALCULATE_IMPORTANCE;INTEGER;1;1;;;Determines whether to calculate variable importance:\n0: no1: yes;
HGBT;CALCULATE_CONFUSION_MATRIX;INTEGER;1;1;;;Determines whether to calculate confusion matrix:\n0: no1: yes;For classification only.
HGBT;COMPRESSION;INTEGER;0;0;;;Indicate whether result model should be compressed:\n0: no1: yes;
HGBT;MAX_BITS;INTEGER;12;12;;;Maximal number of bits to quantize continuous features. Equivalent to use 2 ^MAX_BITS bins.;Valid only when COMPRESSION equals to 1. Must be less than 31.
HGBT;RESAMPLING_METHOD;NVARCHAR;No default value;;;;Specify re-sampling method for model evaluation or parameter selection.\ncvstratified_cvbootstrapstratified_bootstrapIf no value is specified for this parameter, then no model evaluation or parameter selection will be activated.;stratified_cv and stratified_bootstrap can only be specified when applying classification.
HGBT;EVALUATION_METRIC;NVARCHAR;No default value;;;;Specify evaluation metric for model evaluation or parameter selection.\nClassification: RMSE, MAE, NLL, ERROR_RATE, AUCRegression: RMSE, MAE;It is mandatory if RESAMPLING_METHOD is set.
HGBT;REF_METRIC;VARCHAR/NVARCHAR;No default value;;;;The metric(s) for reference. Could be of multi-lines, for example, more than one REF_METRIC.;The metric that is identical to EVALUATION_METRIC will be omitted.
HGBT;FOLD_NUM;INTEGER;No default value;;;;Specify fold number for cross validation method.;Mandatory and valid only when RESAMPLING_METHOD is set to cv or stratified_cv.
HGBT;REPEAT_TIMES;INTEGER;1;1;;;Specify repeat times for resampling.;
HGBT;PARAM_SEARCH_STRATEGY;NVARCHAR;No default value;;;;Specify value to this parameter to active parameter selection.\ngridrandom;If this parameter is not set, then only model evaluation is activated.
HGBT;RANDOM_SEARCH_TIMES;INTEGER;No default value;;;;Specify times to randomly select candidate parameters for selection.;Mandatory and valid when PARAM_SEARCH_STRATEGY is set to random.
HGBT;TIMEOUT;INTEGER;0;0;;;Specify maximum running time for model evaluation or parameter selection, in seconds. No timeout when 0 is specified.;
HGBT;PROGRESS_INDICATOR_ID;NVARACHAR;No default value;;;;Set an ID of progress indicator for model evaluation or parameter selection. No progress indicator will be active if no value is provided.;
HGBT;ITER_NUM_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter ITER_NUM to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ITER_NUM_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter ITER_NUM to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;MAX_DEPTH_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter MAX_DEPTH to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;MAX_DEPTH_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter MAX_DEPTH to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;NODE_SIZE_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter NODE_SIZE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;NODE_SIZE_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter NODE_SIZE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ETA_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter ETA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ETA_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter ETA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;GAMMA_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter GAMMA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;GAMMA_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter GAMMA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;MIN_CHILD_HESSIAN_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter MIN_CHILD_HESSIAN to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;MIN_CHILD_HESSIAN_RANGE;NVARCHAR;No default value;;;;Specifies range of parameter MIN_CHILD_HESSIAN to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;NODE_WEIGHT_CONSTRAINT _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter NODE_WEIGHT_CONSTRAINT to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;NODE_WEIGHT_CONSTRAINT _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter NODE_WEIGHT_CONSTRAINT to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ROW_SAMPLE_RATE _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter ROW_SAMPLE_RATE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ROW_SAMPLE_RATE _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter ROW_SAMPLE_RATE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;COL_SAMPLE_RATE_BYSPLIT_VALUES;NVARCHAR;No default value;;;;Specifies values of parameter COL_SAMPLE_RATE_BYSPLIT to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;COL_SAMPLE_RATE_BYSPLIT _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter COL_SAMPLE_RATE_BYSPLIT to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
